reviewid,reviewtext,sentiment
11,"中午在故宫附近随便吃了个饭以后就下午去附近的北海公园看看。北海公园就在故宫神武门出来的不远处。可以走路走着走着就过去了。,不懂怎么走的朋友可以开一个导航,开放时间：北海公园6:00-22:00,琼华岛景区8:30-18:00,大船码头9:00-18:00。,门票：,旺季（4月1日-10月31日）,门票：20元/人 联票：20元/人,淡季（11月1日-3月31日）,门票：5元/人 联票：15元/人,琼岛门票：10元/人；团城门票：1元/人,百科一下：,北海公园(Beihai Park)，位于北京市中心区，城内景山西侧，在故宫的西北面，与中海、南海合称三海。属于中国古代皇家园林。全园以北海为中心，面积约71公顷，水面占583市亩，陆地占480市亩。这里原是辽、金、元建离宫，明、清辟为帝王御苑，是中国现存最古老、最完整、最具综合性和代表性的皇家园林之一，1925年开放为公园。是中国保留下来的最悠久最完整的皇家园林,一进去是不是有一种风景如画的感觉。,据说那首歌“让我们荡起双桨”就是在这的～ 可惜我们是冬天来的。湖面结冰就没有办法荡起双桨啦。但是还是看到了著名的白塔。",2
12,"北海公园，位于故宫的西北面，靠近景山公园，有多个出入口，如果要到南门、西南门可以乘坐5、101、103、109、124、685路公交车到北海公园站下，到公园东门可以坐5、609路公交到西坂桥站下车，还可以乘坐13、42、107、111、118、609、70等线路到北海北站下车，这一站就是靠近北海公园的北门了。进入参观需要门票，旺季（4月1日-10月31日）：门票10元/人 联票20元/人，其余时间为淡季，门票2元/人 联票 15元/人，学生票还有优惠，如果是旺季来就建议旁晚进园，因为旁晚时游人渐渐散去，就没有了拥挤的感觉了，加上夜景也是很美的，值得一看，而且开放时间是淡季6：30-20:00，旺季6:30-21:00，所以即使17:00进门还是有3-4小时游览，很充足的，建议和故宫一起游览，一早去故宫，结束之后就到北海公园来，一天安排也很充实。,北海很大，主要有分为四大景区，分别是北岸、东岸、琼岛、团城景区，,有著名的景点有白玉佛、团城、承光殿、尽态亭等等，另外还有很多古迹，就算是一块不起眼的石头，背后都有一段故事，所以有条件的建议请一个导游，不过导游都需要提前一天预约的。还时间充裕的可以泛舟湖中，很惬意，",2
13,"永安寺是北海公园里面琼华岛的主要景点，进寺庙不另外收费。永安寺的最高点就是白塔，整个景点组成了北海公园的招牌。,永安寺前面那座桥叫永安桥，这座长长的桥连接了琼华岛两岸。,永安寺蛮大的，有好几个殿，殿堂里有很多参天古树，虽然是冬天，但仍然枝繁叶茂，贡献一份阴凉，走路走得好累，我们还在这里休息了一下。,永安寺原来是皇帝游玩之余上香的地方，所以整个寺庙做得金碧辉煌，很气派，气氛跟其他寺庙还是有明显区别的，门前的铜乌龟已经别具一格，感觉自己也当了一回皇家中人一样。,虽然我们去游玩的时候是淡季，但是仍然有不少香客上香祈福，世人对现状总是有诸多不满。。。。。我们当时就是一队穷学生，就没有凑这个热闹了，参观了寺庙，爬上了白塔，任务完成，走人了，呵呵",2
14,"北海公园位于北京市中心，交通非常便利，地铁6号线到北海北站下车就是公园北门，公交车也有很多可到达的。北海公园原来是皇家游玩的地方，自是一番风景优美，现在开放做了公园，我们大家都有机会当一回皇家中人，最关键的是，公园门票非常便宜，旺季联票都才30块钱，相对于其他城市动辄上百的景点门票，简直是业界良心啊！,北海公园既然做为皇家园林修建的，里面的亭台楼阁，小桥流水，水榭屋檐，一处一景，处处都是充满了情趣。如果是春天来的话，琼岛春荫是最美的景致。如果是夏天的话，这里举办荷花节，湖面上盛开了一大片荷花，跟白塔相映成趣，那就更美了！遗憾的是，我们不巧去的时候是冬天，整个景致被扣分不少。但是仍然能欣赏到整个公园布局建设，还是很心满意足的。,北海公园最著名的景点就是琼华岛白塔了。当然，尤其不能错过的是湖面的游船，那首脍炙人口的歌谣《让我们荡起双桨》描述的就是这里的游船活动。,北海公园里处处显示出皇家园林的典范，跟南方的园林还是不同的。回廊建设曲曲折折，临水而建，远看像一幅画，近看回廊上的雕花精致典雅，也是非常有北方园林特色的。,总,体来说，北海公园是北京景点里性价比特别高的一个景点，值得一游！推荐春夏季节出行。建议穿一双舒适的鞋子，因为整个公园特别大，悠闲地逛可以逛一天，我们当时就玩了一整天，特别累，但是特别值得。以后有机会，还想春夏季节再去一次。",2
15,北海公园位于景山公园和什刹海之间，是历史悠久的一座园林景观公园。春夏秋冬四季风景变幻万千，秋日的北海并没有因为萧瑟的秋风显得萧条，相反这秋日的风光让北海更添韵味。地铁6号线北海北站下车步行可到北海北门，入园门票5元，价格从未有变。学生证半价可用。如果有时间可以选择中午之前到此，闲逛半日。感受老北京醉人的风情，或租上一条脚踏船泛舟湖上，让我们一起荡起双桨。双人船价位约60元，比较合理。园内有很多可爱的猫咪小主们，非常亲人。带上相机和心爱的人一起来此，静静享受属于你们的美好时光。北海是个u型的公园，可以选择从北至东游玩，大概需要2个小时，北门至西门时间较长，景观比较多。还有古刹寺庙，满满的银杏撒下金黄的光辉，让我们忍不住驻足停留。,2
16,去北海公园的交通还是蛮便利的有101、685、13、107、等很多公交车，几乎覆盖大半个北京了。我跟朋友一去的时候正好是旺季，门票20，对于北京来说已经算是很便宜的咯。其实整个北海公园还是蛮大的，其中的白塔寺还是值得一爬的，上去之后在看北海公园有事不一样的感觉，有一种一览众山小的壮观感吧。其中的小西天、铁影壁、九龙壁、静心斋等还是很有历史价值的。小主我本是正宗的“猫奴”，所以最后离开之前遇到了“惊喜”。很多“猫侍卫”出现了，随处可见，真的太可爱太想让人“蹂躏”了！！！并且相当的不怕人，所以爱猫人士们去之前做好买点猫粮猫罐头或者火腿肠什么的，一定会满足你。逛完公园出来坐车顺便欣赏一下北京的夜晚也是很迷人的啦~,2
17,仿膳饭庄在北海公园内，现在地铁六号线通了，直接就能到北海公园。听名字就觉得这家店不能便宜，仿膳，那就是让你尝尝皇帝吃的东西是什么味道啊。事实证明也确实如此，三个人吃掉600大洋。来的早的话可以看看二楼有没有靠窗的座位，可以观赏湖景。他家的各种小吃真的做的是非常精致，个人比较喜欢豌豆黄、和芸豆卷，不过量真的是小的可以。此外还推荐乌鱼蛋汤，酸酸的，很好喝，佛跳墙一般，没什么惊艳之处。大堂正中间有一个龙椅，哈哈不知道是否让人坐。,2
18,个人觉得北海公园是性价比比较高的一个公园了，联票的话20（包含永安寺），仅门票10元，现在说实话真不算贵。北海公园比起故宫这些大景点人不算多，春天、夏天去最为合适，去的话最好的活动首推划船，北海公园的湖面很大，周围都种了柳树，那首著名的“让我们荡起双脚”就是说的北海公园，在湖里飘着看看白塔，吹吹小风那真是十分惬意。景点的话白塔河九龙壁是不能错过的，要不就算白来了。北海公园的位置位于北京城中心区域，东临景山、故宫，从北海公园出去走路二十分钟就能到；北靠后海、鼓楼，安排行程都很方便。,2
19,真的好开心，有心爱的人陪着。有垂柳，有山有水有名胜。,2
20,进园很快，风景很漂亮，荷花很香！,2
21,北海仿膳从原来的南岸搬到了北岸快雪堂附近。正门不起眼儿，里边儿别有洞天。向里边看了一下菜谱，为即将到来的年夜饭打好前站,1
22,风景很美。游人如织毛衣，北海靠近故宫,1
23,"晚上来的时候没有几桌，大厅的服务员站成一排，但是最让人佩服的是，没有一个人在聊天!,圆梦烧饼这个烧饼有点肉沫烧饼的意思，肉馅是甜口的，烧饼外面酥脆里面类似面包一样，一层一层，稍微有点凉,核桃酥外面的核桃酥好多都是软的核桃包,但这个是硬硬的酥皮，和真的核桃一样,脆皮鲈鱼脆皮鲈鱼就这鱼鳞，炸的非常酥脆，鱼还保持摆尾的形态,葱扒驼掌有点像牛蹄筋，软软的，结缔组织...味道有一点点膻，但是总的来说很好吃，适合尝鲜,红烧**和之前在丰泽园吃的不一样，这个比较扎实，有点像牛腱子，但是...真的吃完了，货特别大园",2
24,北海美丽 门票便宜 跟值得游玩,2
25,很适合休闲，水面宽广，休息椅很多。,2
26,风景不错，环境优美，价格便宜、实惠,2
27,导游小鱼人很热心也很细心，全程无劝购等，酒店也住的舒心，两天行程安排的虽然紧凑但不辛苦，下次来北京还找小鱼。,2
28,藏匿在北海九龙壁旁边儿的餐厅，一直以为是园林里特供，没想到这次吃还有新的体验，里面的菜还是很不错的，量比想象中打多不少，推荐糖醋里脊和燕尾桃花虾给的真不少园里面有不少可以尝鲜的老北京小吃，芸豆卷，豌豆黄很小巧精致，量还是控制的挺好的，这里面人均大约200，环境也设计的很有老皇城的感觉，非常适合宴请宾客，感觉是一次很棒的用餐体验园,2
29,挺便宜，但只是进门票，里面白塔什么的还要收费的。,1
30,取票方便，风景悠美，看到白塔就想起儿时快乐时光。,2
31,"名气也很大。问了一下服务员，要想上这里来吃饭,还得买北海公园的门票才能进来命服务态度很好,在这里的湖光山色当中吃顿饭也相当有派头吧。",2
32,服务很好，性价比高，总体超赞，来北京非常省心的一天旅行，特别满意包车服务，！师傅特别负责，提前一天就和我们联系了一下，帮我们安排好了行程，去八达岭长城，师傅早就来到我们住的酒店等着，车子非常干净，师傅开车 技术好特别稳，细心 的告诉怎么玩长城不走冤枉路，哪里的风景漂亮。陪我们进景点讲解，司机师傅讲解的细致认真，行程安排的非常满意，没让我们多花钱，，玩的挺开心的。特别感谢师傅的热心服，，,2
33,好多地方都要另买门票，划船60/4人/h。划了一小时船，有好多老头老太太在表演，心态很好。,1
34,晚上来的时候没有几桌，大厅的服务员站成排，但是最让人佩服的是，没有一个人在聊天!,2
35,坐车到了北海公园南门处，在公园门口现预定的门票，几分钟后就收到了确认信息，凭收到的信息在售票窗口兑换入园凭证，非常方便快捷就可以进入公园了。公园中心是琼岛，往上走白塔耸立，可上行游览一番。四面环水，景色清秀，适合轻松游玩。,2
36,仿膳饭庄应该算是餐饮界里做宫廷菜的楷模了，现时咱们花小钱，也可以来享慈禧挚爱佳肴。,2
37,小船轻轻飘荡在水中～好漂亮,2
38,同学安排仿膳非常有特色、代表老北京特色菜、美中不足的是客人得买门票进来!,2
39,从小就是唱着《让我们荡起双桨》这首歌长大的，对“海面倒映着美丽的白塔，四周环绕着绿树红墙”这句描述的情境更是相当的憧憬。北海公园是当年影片的拍摄取景地，坐在游船上观赏全景，风光确实相当优美，还有著名的九龙壁和大白塔，都让我们大饱眼福。,2
40,北海公园的白塔是名扬天下，不禁让我想起了一首歌:让我们荡起双桨，……,2
41,真的很不错，方便，快捷，玩的很愉快，北海很大划船很舒服。如果有需要还会,2
42,"圆梦烧饼这个烧饼有点肉沫烧饼的意思，肉馅是甜口的，烧饼外面酥脆里面类似面包一样，一层一层，稍微有点凉,核桃酥外面的核桃酥好多都是软的核桃包，但这个是硬硬的酥皮，和真的核桃—样",1
43,如果天气晴好就好了，肯定更好玩,2
44,10元的门票价，在里面逛了一下午，太值了，建议最好是看着门票上面的地图走，要不然有的景点会被漏掉，在标志性建筑白塔处留影纪念一下，下午阳光正好，坐在亭子里晒晒太阳吹吹湖风，休息一下，一个人也可以享受惬意时光。,2
45,取票很方便，人不太多，适合散步,2
46,很便宜，超高的价格比！只用了3.7（原价10元）,2
47,不错不错，适合休闲放松，小时候不是有首歌是“让我们荡起双浆，小船儿推开波浪”么，冲着这个去的，天冷，没划船，著名的白塔和风景还是很赞的，适合溜达放松，情侣游玩，门票也不贵，在故宫后面，很近，与景山公园相联，很容易找到的,2
48,特别好 风景美美的  一直想来这看看的,2
49,"元旦节，带着我家孙女，带上亲家来仿膳，享受一下皇家御膳房，不愧是大馆子，气派，有档次，环境优雅,",2
50,"我住长江头，君住长江尾，君住长江尾。日日思君不见君。,北海公园也叫李之仪公园。大型水景主题公园。遛娃跑步🏃🏻,游北海公园，住【乔治莫兰迪酒店】🏨",2
51,"北海公园里的仿膳饭庄，年初受疫情影响还开了外卖，买过几次，烧鸭，酱肉味道很赞,最近旅游升温，逛北海公园的人还挺多的，所以生意回暖，去晚了还得拿号等位,我单位就在北海公园旁边，所以几乎天天去北海溜达，长辈来公园的时候，一家子聚聚就安排在仿膳，特别适合老年的口味",2
52,好风景！岛上的要另外收门票10元；北门的九龙壁非常好,2
53,第二次来到北京，订的是7月17日的行程，感谢王*导游一路详细的解说，王*导游不紧不慢的语调让人一路非常舒服，所以，尽管这是一条纯走路的行程，走了有10.26公里，但还是非常开心，以后来北京但愿有缘还能跟着王*导游游玩。这条纯走的路线全程不用汽车纯走198元不包中饭真的太贵，希望以后能便宜点，但是能跟到王*这样的导游也值了哦！谢谢?,2
54,环境保护好，景色优美。,2
55,"公园里玩一玩，中午就到仿膳吃一顿。,仿膳餐厅作为北京的老字号品牌，名气大大的。小时候就跟着爸妈来这里吃有名的小吃,不过现在，可能是疫情影响，没有很多种类的小吃了，只有小窝头。这可以说是绝对的特色菜肴，套在指头上打卡留念，充满风趣。,左宗棠鸡或者燕尾桃花虾，都是甜口的，人数不多的话点一道就好，乌贼蛋花汤也不错，肉末儿烧饼值得推荐～",2
56,跟家人一起去的，老人免票，但是售票人员的态度极差，票的零钱直接甩给你，问多一句用眼睛横着你看，什么都叫你自己看，敢情我第一次来问一下都不行了，我懂了还能问你，不过里面景色还是可以的，联票挺坑，景区分的不明确，而且基本不用联票也能看清楚所有景点了（敢情也没啥景点）我实在是想来吐槽那两个售票员才来评论的，因为我真的很想投诉她们，但是投诉无门，所以来这里黑一下（其实就是吐槽了好吧）而且门票很贵，40一张成...,0
57,游览完故宫可以附带地游览下北海公园，步行10几分钟即达，那首脍炙人口的儿歌“让我们荡起双桨”唱诵的就是这里，另外北海公园的白塔也是北京地标之一。整个公园还是很大的，毕竟以前也是皇家园林，我没有全部走完，因为下一目的地订的是恭王府，所以从北门就出去了。,2
58,中华著名老字号——“全聚德”，创建于1864年（清朝同治三年），历经几代全聚德人的创业拼搏获得了长足发展。“不到万里长城非好汉，不吃全聚德烤鸭真遗憾！”,2
59,在北京完了几天就是这一个景点，卖票非常不正规，根本就不说联票和门票，买了联票都不知道，结果去时，要求买票进入，结果白白浪费,0
60,北海的湖水清澈，远眺高楼，近观白塔，精致的五龙亭，将工匠们的精工手艺显得淋漓尽致。白塔目前上不了，但岛绕一圈也是不错的。,2
61,我是从北门进入公园的，上午九点多钟，湖边无数中老年同志们，唱歌的、跳舞的，录音机和麦克风传出的声音热闹非凡。想想进门处“园内禁止使用喇叭和扩音器”的提示牌，觉得真不可思议。  不过，推荐仿膳门口出售的小点心，味道的确不错，如果园外也能买到就好了。,2
62,"网上预约购买门票哦  💰10,上白塔近围需要另买票的 10💰,北海公园白塔是一座藏传喇嘛塔，高35.9米，上圆下方，富有变化，为须弥山座式，塔顶设有宝盖、宝顶，并装饰有日、月及火焰花纹，塔身正面有一盾形小龛，内塑红底黄字的藏文图案，含""吉祥如意""之意。,白塔门票也含这个的费用,戏台～",1
63,北海公园是北京不可错过的景点，国家4A级景区中国最早的皇家园林之一。对北海公园的最初印象还是那首“长亭外，古道边，芳草碧连天。”,2
64,10月23日北海公园赏菊，公园门票10元此次赏菊的标本菊大部分都开的正好，许多小菊都没怎么开呢,2
65,在前门坐5路车就能到，很方便,2
66,秋天，雨后，北海，天高云淡，白塔，北京最美的风景，都集中在这个镜头里，如果没有一份闲适的心情，怎能欣赏到这么美丽的风景呢。,2
67,北海公园 全国重点文物保护单位，是以琼岛为中心四周湖泊环绕的皇家园林，主要景观建筑除了琼岛上的白塔之外，还有九龙壁和五龙亭等。,1
68,让我们荡起双桨，小船儿推开波浪，水面倒映着美丽的白塔，四周环绕着绿树红墙，小船儿轻轻，飘荡在水中，迎面吹来了凉爽的风。北海，我来了！,2
69,风景很不错，离恭王府也近，逛的地方比较多,2
70,"每年6至8月， 北京 ——只要有水域的公园基本都要种荷花。 前天还看见一张外国人拍摄的，百年前的护城河，那也是满满的荷花。  虽然同为皇家御苑， 北海 公园相对圆明园而言，种植面积要小的多，但这里的游人没那么多，似乎更像本地人——老 北京 ，消暑纳凉的“街心公园”。    身处京城中心，却独有一份清静。    “让我们荡起双桨，小船儿推开波浪，海面倒映着美丽的白塔，四周围绕着绿树红墙......”""这首优美的动听的歌曲这个...",2
71,北海公园里的小麻雀！ 一提起北海，耳边便响起《让我们荡起双桨》的优美旋律，对听着这歌长大、第一次来北京的人来说，怎能不去北海。北海公园是中国现存最古老、最完整、最具综合性和代表性的皇家园林之一。它历经了辽、金、元、明、清五个朝代，根据我国古代神话故事幻想中的仙界建造，而且还把我国寺庙园林、江南文人园林和风景名胜的艺术成就融合的整个宫苑之内，其规模之大，历史传统之长，艺术成就之高，是中国遗存公园中的...,2
72,早起赏荷~ 🏃 人生的奔跑，不在于谁先起跑，而取决于途中的坚持，中途放弃了，你前面所有的努力都是白费，只有努力的坚持，才能得到自己想要的结果。早安！,1
